Time,X,Y,Z
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000104e-03,1.005584645086718742e+00,1.189926333915295453e+00,9.856312101256227143e-01
1.000000000000000021e-02,1.021931580288102603e+00,1.381118321291018081e+00,9.725622537952736124e-01
1.499999999999999944e-02,1.048548067499490921e+00,1.575609042747265542e+00,9.608766694133813457e-01
2.000000000000000042e-02,1.085085654157823098e+00,1.775340750185245398e+00,9.506941666659531887e-01
2.500000000000000139e-02,1.131327272830885633e+00,1.982191340160330606e+00,9.421714643440901593e-01
3.000000000000000236e-02,1.187176559134317078e+00,2.197998354903830887e+00,9.355046195881737692e-01
3.500000000000000333e-02,1.252649125809319530e+00,2.424580875614025910e+00,9.309327638065043597e-01
4.000000000000000083e-02,1.327865565675186765e+00,2.663759618078140434e+00,9.287432294976954994e-01
4.499999999999999833e-02,1.413045985927054105e+00,2.917375488791354776e+00,9.292781115215656973e-01
4.999999999999999584e-02,1.508505901299236784e+00,3.187306809276945874e+00,9.329423594497409100e-01
5.499999999999999334e-02,1.614653334273888241e+00,3.475485365823336448e+00,9.402135471394909016e-01
5.999999999999999084e-02,1.731986986988836241e+00,3.783911389636483324e+00,9.516535136587392918e-01
6.499999999999998834e-02,1.861095361873504217e+00,4.114667516475705611e+00,9.679221176934137416e-01
6.999999999999999278e-02,2.002656716273757631e+00,4.469931712872902807e+00,9.897933966942771278e-01
7.499999999999999722e-02,2.157439740226552605e+00,4.851989085285527636e+00,1.018174472937120045e+00
8.000000000000000167e-02,2.326304845761241857e+00,5.263242405746250796e+00,1.054127601564811556e+00
8.500000000000000611e-02,2.510205950097359473e+00,5.706221088870099045e+00,1.098895810154942643e+00
9.000000000000001055e-02,2.710192623124174194e+00,6.183588235849154735e+00,1.153932634258141965e+00
9.500000000000001499e-02,2.927412450581494241e+00,6.698145215837002731e+00,1.220936506508764730e+00
1.000000000000000194e-01,3.163113437122511584e+00,7.252833077471116496e+00,1.301890404766979481e+00
1.050000000000000239e-01,3.418646236307028907e+00,7.850729865742728464e+00,1.399107401866404921e+00
1.100000000000000283e-01,3.695465945555914011e+00,8.495042653514788711e+00,1.515282777906196809e+00
1.150000000000000328e-01,3.995133140798196258e+00,9.189092773330598263e+00,1.653553344177717044e+00
1.200000000000000372e-01,4.319313745139019112e+00,9.936292343828576179e+00,1.817564569689997356e+00
1.250000000000000278e-01,4.669777225134671639e+00,1.074010971632222677e+01,2.011545974750885701e+00
1.300000000000000322e-01,5.048392483598481029e+00,1.160402091255643775e+01,2.240395031270034476e+00
